asset,model,ID_MAE,ID_RMSE,ID_MDA,ID_R2_OOS,OOD_MAE,OOD_RMSE,OOD_MDA,OOD_R2_OOS,MAE_Degradation,RMSE_Degradation
sp500,AR,0.006708494904543759,0.009865700691882482,0.4990059642147117,-0.008193953016373712,0.009814622310460661,0.01639338618475301,0.5177865612648221,-0.022368024067237036,0.46301405160389664,0.6616545237624655
sp500,ARIMAX,0.006739883228761135,0.009880209939487489,0.49304174950298213,-0.011161586594204298,0.009770550144479117,0.016421810759451535,0.5395256916996047,-0.025916475852356236,0.4496616354991438,0.6620912774150399
sp500,Ridge,0.006739707586293807,0.009880056952586966,0.49304174950298213,-0.011130272830559562,0.009770520162582856,0.016421550043612027,0.5395256916996047,-0.025883900814686944,0.44969496635917194,0.662090625835133
sp500,RandomForest,0.00672703933339202,0.009875982051910108,0.536779324055666,-0.010296389831686348,0.009756363943648,0.016435042623498753,0.541501976284585,-0.0275704050651,0.4503206329148195,0.6641426176265742
sp500,MLP,0.006865582070370142,0.010007651565468184,0.5089463220675944,-0.03741511065907566,0.010100495242043933,0.016636510351821728,0.45652173913043476,-0.05291760536533152,0.4711782829943489,0.6623790549649726
nasdaq100,AR,0.008936749589090277,0.01274363359896065,0.5407554671968191,-0.007634570883792602,0.011870098897522595,0.017764754955611445,0.5118577075098815,0.0007670708426819051,0.32823447487140794,0.3940101790952551
nasdaq100,ARIMAX,0.008974622734601315,0.01275324291155236,0.536779324055666,-0.009154753663081383,0.011803777838708285,0.017748144609553113,0.5454545454545454,0.0026347966027265857,0.3152394465785475,0.3916573794321903
nasdaq100,Ridge,0.00897452816546033,0.012753157644116131,0.536779324055666,-0.009141259408868008,0.011803758938434153,0.01774810210846097,0.5454545454545454,0.002639573334107581,0.31525119993076567,0.3916633514406007
nasdaq100,RandomForest,0.008977931447773138,0.012767289934539246,0.5427435387673957,-0.01137903919868899,0.01182053450287656,0.017831168127010143,0.5395256916996047,-0.0067181182150923835,0.3166211584082093,0.3966290589807653
nasdaq100,MLP,0.009214962827614524,0.013135168144895902,0.5387673956262425,-0.07050273193486634,0.012233083582214862,0.018177996273634485,0.5158102766798419,-0.046261669895308444,0.32752392072119063,0.3839180490961693
